City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Weligama,LK,83.59,overcast clouds,5.9667,80.4167,
5,Rikitea,PF,76.46,overcast clouds,-23.1203,-134.9692,
6,Vaini,TO,80.76,light intensity drizzle,-21.2,-175.2,
7,Bardiyah,LY,70.41,overcast clouds,31.7561,25.0865,
10,Isangel,VU,82.26,overcast clouds,-19.55,169.2667,
11,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,
12,Mae Sai,TH,81.81,overcast clouds,20.4335,99.8762,
13,Busselton,AU,67.87,broken clouds,-33.65,115.3333,
15,Avera,US,71.11,few clouds,33.194,-82.5271,
17,Airai,TL,76.14,overcast clouds,-8.9266,125.4092,
20,Kulhudhuffushi,MV,85.59,overcast clouds,6.6221,73.07,
23,Kapaa,US,82.38,broken clouds,22.0752,-159.319,
25,Bengkulu,ID,84.15,overcast clouds,-3.8004,102.2655,
31,Nara,JP,65.57,broken clouds,34.6851,135.8049,
34,Muana,BR,74.23,overcast clouds,-1.5283,-49.2167,
36,New Norfolk,AU,69.66,overcast clouds,-42.7826,147.0587,
41,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,
43,Puerto Ayora,EC,72.16,clear sky,-0.7393,-90.3518,
45,Atuona,PF,78.26,light rain,-9.8,-139.0333,
50,Naze,JP,65.32,overcast clouds,28.3667,129.4833,
53,Morondava,MG,69.57,clear sky,-20.2833,44.2833,
54,Coolum Beach,AU,76.1,broken clouds,-26.5333,153.1,
55,Mackay,AU,82.69,broken clouds,-21.15,149.2,
56,Adre,TD,80.44,broken clouds,13.4667,22.2,
57,Toucheng,TW,66.09,light rain,24.8592,121.8233,
62,Vila Franca Do Campo,PT,65.19,scattered clouds,37.7167,-25.4333,
63,Coahuayana,MX,70.75,scattered clouds,18.7333,-103.6833,
70,Demba,CD,66.4,overcast clouds,-5.51,22.2667,
71,San Patricio,US,80.46,overcast clouds,28.017,-97.5169,
73,Hilo,US,77.29,moderate rain,19.7297,-155.09,
77,Bambous Virieux,MU,74.21,clear sky,-20.3428,57.7575,
83,Namibe,AO,71.82,scattered clouds,-15.1961,12.1522,
87,Balabac,PH,85.95,broken clouds,7.9868,117.0645,
88,Mount Gambier,AU,65.32,overcast clouds,-37.8333,140.7667,
89,Saint George,US,66.79,clear sky,37.1041,-113.5841,
90,Shieli,KZ,72.84,overcast clouds,44.1667,66.75,
93,Tura,IN,80.42,overcast clouds,25.5198,90.2201,
97,Dingle,PH,88.09,scattered clouds,10.9995,122.6711,
99,Tesistan,MX,76.23,clear sky,20.7833,-103.4833,
101,Marsa Matruh,EG,67.15,overcast clouds,31.3525,27.2453,
102,Cap Malheureux,MU,74.46,clear sky,-19.9842,57.6142,
103,Butaritari,KI,81.61,light rain,3.0707,172.7902,
104,Saint-Philippe,RE,72.99,clear sky,-21.3585,55.7679,
107,Sambava,MG,77.05,light rain,-14.2667,50.1667,
111,Sumbe,AO,75.13,broken clouds,-11.2061,13.8437,
113,Cabo San Lucas,MX,75.18,few clouds,22.8909,-109.9124,
118,Port Maria,JM,80.02,overcast clouds,18.3685,-76.8895,
126,Yilan,TW,66.02,overcast clouds,24.757,121.753,
129,Carnarvon,AU,87.87,clear sky,-24.8667,113.6333,
131,Sao Felix Do Xingu,BR,74.37,broken clouds,-6.6447,-51.995,
133,Souillac,MU,74.43,clear sky,-20.5167,57.5167,
135,Puqi,CN,70.59,overcast clouds,29.7167,113.8833,
140,Georgetown,MY,84.13,few clouds,5.4112,100.3354,
141,Avarua,CK,82.45,few clouds,-21.2078,-159.775,
145,Kahului,US,77.02,light rain,20.8947,-156.47,
146,Tautira,PF,79.81,light rain,-17.7333,-149.15,
147,Kutum,SD,75.65,scattered clouds,14.2,24.6667,
149,Kupang,ID,88.34,broken clouds,-10.1667,123.5833,
152,Codrington,AU,67.41,overcast clouds,-38.2667,141.9667,
153,Miri,MY,86.38,overcast clouds,4.4148,114.0089,
154,Kandi,BJ,81.93,overcast clouds,11.1342,2.9386,
155,Arraial Do Cabo,BR,74.86,clear sky,-22.9661,-42.0278,
156,Ilam,NP,72.75,few clouds,26.9167,87.9167,
157,Gushikawa,JP,66.2,light rain,26.3544,127.8686,
159,Baruun-Urt,MN,67.77,broken clouds,46.6806,113.2792,
160,Iberia,US,71.96,mist,29.9502,-91.7507,
161,Hithadhoo,MV,85.14,overcast clouds,-0.6,73.0833,
162,Denpasar,ID,87.46,few clouds,-8.65,115.2167,
164,Waingapu,ID,86.88,scattered clouds,-9.6567,120.2641,
166,Kavieng,PG,83.71,light rain,-2.5744,150.7967,
167,Balikpapan,ID,85.19,few clouds,-1.2675,116.8289,
171,Aquiraz,BR,78.89,overcast clouds,-3.9014,-38.3911,
172,Biak,ID,84.33,few clouds,-0.9131,122.8766,
173,Mazamari,PE,72.03,overcast clouds,-11.3258,-74.5308,
175,Batemans Bay,AU,65.1,clear sky,-35.7167,150.1833,
176,Taoudenni,ML,75.7,few clouds,22.6783,-3.9836,
178,Rawah,IQ,66.63,clear sky,34.4816,41.9093,
179,Matara,LK,83.89,overcast clouds,5.9485,80.5353,
181,Port Augusta,AU,71.35,clear sky,-32.5,137.7667,
182,Qui Nhon,VN,77.07,overcast clouds,13.7667,109.2333,
183,Dalby,AU,75.92,few clouds,-27.1833,151.2667,
184,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,
187,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,
188,Adrar,MR,75.09,clear sky,20.5022,-10.0711,
189,Correntina,BR,74.1,overcast clouds,-13.3433,-44.6367,
190,Millbrook,US,68.32,clear sky,32.4799,-86.3619,
194,Veseloyarsk,RU,69.49,overcast clouds,51.2836,81.1056,
