City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,59.86,81,11,5.75,few clouds
1,Ushuaia,AR,-54.8,-68.3,38.86,81,0,0.0,clear sky
2,Weligama,LK,5.9667,80.4167,83.59,79,99,11.99,overcast clouds
3,Torbay,CA,47.6666,-52.7314,40.28,92,56,3.76,broken clouds
4,Naryan-Mar,RU,67.6713,53.087,19.04,95,100,9.62,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,76.46,71,100,5.32,overcast clouds
6,Vaini,TO,-21.2,-175.2,80.76,89,75,9.22,light intensity drizzle
7,Bardiyah,LY,31.7561,25.0865,70.41,51,100,17.02,overcast clouds
8,Provideniya,RU,64.3833,-173.3,28.33,51,15,12.53,few clouds
9,Emba,KZ,48.8264,58.1442,50.67,68,16,13.29,few clouds
10,Isangel,VU,-19.55,169.2667,82.26,80,93,10.56,overcast clouds
11,Padang,ID,-0.9492,100.3543,75.25,75,93,1.63,overcast clouds
12,Mae Sai,TH,20.4335,99.8762,81.81,62,87,3.58,overcast clouds
13,Busselton,AU,-33.65,115.3333,67.87,74,83,8.61,broken clouds
14,Nikolskoye,RU,59.7035,30.7861,39.79,92,67,5.77,broken clouds
15,Avera,US,33.194,-82.5271,71.11,77,24,6.24,few clouds
16,Nyurba,RU,63.2842,118.3319,29.68,47,59,13.53,broken clouds
17,Airai,TL,-8.9266,125.4092,76.14,44,91,5.73,overcast clouds
18,Albany,US,42.6001,-73.9662,55.35,52,100,3.56,overcast clouds
19,Mataura,NZ,-46.1927,168.8643,64.47,56,23,4.79,few clouds
20,Kulhudhuffushi,MV,6.6221,73.07,85.59,74,96,17.0,overcast clouds
21,Guano,EC,-1.5833,-78.6333,46.67,91,95,1.7,overcast clouds
22,Bereda,ES,43.2686,-7.5406,52.41,100,99,2.59,overcast clouds
23,Kapaa,US,22.0752,-159.319,82.38,80,75,20.71,broken clouds
24,Bredasdorp,ZA,-34.5322,20.0403,54.79,94,96,4.9,overcast clouds
25,Bengkulu,ID,-3.8004,102.2655,84.15,64,100,3.02,overcast clouds
26,Yar-Sale,RU,66.8333,70.8333,15.84,82,14,5.7,few clouds
27,Tasiilaq,GL,65.6145,-37.6368,18.86,62,83,4.38,broken clouds
28,Tiksi,RU,71.6872,128.8694,17.08,80,34,10.27,scattered clouds
29,Bluff,NZ,-46.6,168.3333,64.8,69,74,9.64,broken clouds
30,Shelopugino,RU,51.6514,117.5599,62.73,36,100,14.99,overcast clouds
31,Nara,JP,34.6851,135.8049,65.57,26,58,8.88,broken clouds
32,Barrow,US,71.2906,-156.7887,19.42,86,100,13.8,overcast clouds
33,Altamont,US,42.2068,-121.7372,54.77,47,0,6.91,clear sky
34,Muana,BR,-1.5283,-49.2167,74.23,98,100,4.14,overcast clouds
35,Galia,BR,-22.2914,-49.5528,64.08,82,6,3.47,clear sky
36,New Norfolk,AU,-42.7826,147.0587,69.66,56,100,4.0,overcast clouds
37,Anadyr,RU,64.75,177.4833,25.3,73,0,11.18,clear sky
38,Pisco,PE,-13.7,-76.2167,64.45,82,0,9.22,clear sky
39,Tuktoyaktuk,CA,69.4541,-133.0374,33.53,99,100,10.2,overcast clouds
40,Pegnitz,DE,49.7564,11.545,46.74,54,33,3.24,scattered clouds
41,San Cristobal,VE,7.7669,-72.225,75.38,95,88,3.36,overcast clouds
42,Coronado,US,32.6859,-117.1831,63.07,81,100,13.8,overcast clouds
43,Puerto Ayora,EC,-0.7393,-90.3518,72.16,91,7,5.82,clear sky
44,Dikson,RU,73.5069,80.5464,16.54,91,100,12.46,overcast clouds
45,Atuona,PF,-9.8,-139.0333,78.26,82,100,14.92,light rain
46,Okhotsk,RU,59.3833,143.3,36.14,78,41,10.0,scattered clouds
47,Hamilton,US,39.1834,-84.5333,60.24,68,0,10.36,clear sky
48,Saldanha,ZA,-33.0117,17.9442,61.5,59,100,6.98,overcast clouds
49,Sorland,NO,67.667,12.6934,36.45,66,100,16.53,light rain
50,Naze,JP,28.3667,129.4833,65.32,56,100,10.0,overcast clouds
51,Clyde River,CA,70.4692,-68.5914,7.93,94,98,5.7,overcast clouds
52,Lebu,CL,-37.6167,-73.65,51.58,92,1,14.18,clear sky
53,Morondava,MG,-20.2833,44.2833,69.57,77,0,8.81,clear sky
54,Coolum Beach,AU,-26.5333,153.1,76.1,69,79,15.32,broken clouds
55,Mackay,AU,-21.15,149.2,82.69,74,51,17.11,broken clouds
56,Adre,TD,13.4667,22.2,80.44,11,64,7.09,broken clouds
57,Toucheng,TW,24.8592,121.8233,66.09,89,100,8.9,light rain
58,Paamiut,GL,61.994,-49.6678,30.81,91,86,6.73,overcast clouds
59,Sioux Lookout,CA,50.1001,-91.917,37.47,100,100,5.75,light intensity drizzle
60,Andenes,NO,69.3143,16.1194,31.98,93,75,8.05,broken clouds
61,Jamestown,US,42.097,-79.2353,54.01,97,100,10.36,moderate rain
62,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,91,40,3.31,scattered clouds
63,Coahuayana,MX,18.7333,-103.6833,70.75,77,32,1.3,scattered clouds
64,Melfi,IT,40.9965,15.6514,49.5,90,74,2.24,broken clouds
65,Ponta Do Sol,PT,32.6667,-17.1,63.72,78,0,4.41,clear sky
66,Warrington,GB,53.3925,-2.5802,52.86,91,100,5.75,overcast clouds
67,Chuy,UY,-33.6971,-53.4616,52.39,80,33,5.88,scattered clouds
68,Bonavista,CA,48.6499,-53.1147,36.99,96,100,1.1,overcast clouds
69,Ilulissat,GL,69.2167,-51.1,17.62,67,75,3.44,broken clouds
70,Demba,CD,-5.51,22.2667,66.4,98,100,1.61,overcast clouds
71,San Patricio,US,28.017,-97.5169,80.46,85,88,15.97,overcast clouds
72,Maarianhamina,AX,60.0973,19.9348,42.66,65,0,5.75,clear sky
73,Hilo,US,19.7297,-155.09,77.29,96,100,3.44,moderate rain
74,Uyuni,BO,-20.4597,-66.825,45.73,24,0,10.13,clear sky
75,Iwanai,JP,42.9744,140.5089,42.48,90,100,14.56,moderate rain
76,Qaanaaq,GL,77.484,-69.3632,5.13,64,24,7.4,few clouds
77,Bambous Virieux,MU,-20.3428,57.7575,74.21,85,0,5.19,clear sky
78,Portland,US,45.5234,-122.6762,62.55,65,75,4.61,broken clouds
79,Maniitsoq,GL,65.4167,-52.9,24.22,82,92,6.55,overcast clouds
80,Kununurra,AU,-15.7667,128.7333,93.18,33,1,12.66,clear sky
81,Ulagan,RU,50.6321,87.9563,60.3,26,94,2.73,overcast clouds
82,Bundi,IN,25.4417,75.6417,95.05,22,55,15.21,broken clouds
83,Namibe,AO,-15.1961,12.1522,71.82,73,36,7.14,scattered clouds
84,Port Hardy,CA,50.6996,-127.4199,50.18,81,100,4.61,light intensity shower rain
85,Port Elizabeth,ZA,-33.918,25.5701,55.31,87,0,3.44,clear sky
86,Severo-Kurilsk,RU,50.6789,156.125,36.37,86,89,7.34,overcast clouds
87,Balabac,PH,7.9868,117.0645,85.95,70,78,8.21,broken clouds
88,Mount Gambier,AU,-37.8333,140.7667,65.32,61,100,9.53,overcast clouds
89,Saint George,US,37.1041,-113.5841,66.79,29,0,20.71,clear sky
90,Shieli,KZ,44.1667,66.75,72.84,29,100,14.2,overcast clouds
91,Necochea,AR,-38.5473,-58.7368,51.01,62,100,7.81,overcast clouds
92,Hermanus,ZA,-34.4187,19.2345,59.81,80,99,9.17,overcast clouds
93,Tura,IN,25.5198,90.2201,80.42,69,93,4.56,overcast clouds
94,Ust-Uda,RU,54.1742,103.0304,58.8,62,100,4.83,overcast clouds
95,Beringovskiy,RU,63.05,179.3167,21.34,75,31,13.51,scattered clouds
96,Talnakh,RU,69.4865,88.3972,22.21,87,100,9.93,light snow
97,Dingle,PH,10.9995,122.6711,88.09,57,35,9.53,scattered clouds
98,Englewood,US,39.6478,-104.9878,58.28,42,75,5.99,broken clouds
99,Tesistan,MX,20.7833,-103.4833,76.23,20,7,6.02,clear sky
100,Grindavik,IS,63.8424,-22.4338,37.87,75,0,12.66,clear sky
101,Marsa Matruh,EG,31.3525,27.2453,67.15,59,100,21.92,overcast clouds
102,Cap Malheureux,MU,-19.9842,57.6142,74.46,77,4,1.99,clear sky
103,Butaritari,KI,3.0707,172.7902,81.61,78,81,12.71,light rain
104,Saint-Philippe,RE,-21.3585,55.7679,72.99,80,0,2.82,clear sky
105,Nanortalik,GL,60.1432,-45.2371,36.43,85,100,2.04,overcast clouds
106,Thompson,CA,55.7435,-97.8558,22.84,93,100,9.53,overcast clouds
