City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jinka,ET,2022-04-30 20:07:47,5.65,36.65,62.04,90,100,2.73
1,Albany,US,2022-04-30 19:58:03,42.6001,-73.9662,64.44,26,89,3.0
2,Leningradskiy,RU,2022-04-30 20:06:05,69.3833,178.4167,9.64,91,71,4.41
3,Bluff,NZ,2022-04-30 20:00:23,-46.6,168.3333,64.8,66,100,14.05
4,Hermanus,ZA,2022-04-30 20:07:48,-34.4187,19.2345,58.93,86,79,3.0
5,Cape Town,ZA,2022-04-30 19:57:50,-33.9258,18.4232,60.91,79,0,4.61
6,Syamzha,RU,2022-04-30 20:07:48,60.0158,41.0614,25.21,89,59,4.74
7,Sulangan,PH,2022-04-30 20:07:49,11.1373,123.7228,81.57,78,100,11.97
8,Olavarria,AR,2022-04-30 20:07:49,-36.8927,-60.3225,52.02,56,0,7.72
9,Prado,BR,2022-04-30 20:07:49,-17.3411,-39.2208,75.87,81,32,7.27
10,Torbay,CA,2022-04-30 20:03:02,47.6666,-52.7314,44.76,94,100,4.59
11,Sorland,NO,2022-04-30 20:07:50,67.667,12.6934,37.27,64,25,7.56
12,Mataura,NZ,2022-04-30 20:07:50,-46.1927,168.8643,64.47,86,100,3.8
13,Yellowknife,CA,2022-04-30 19:59:10,62.456,-114.3525,34.32,47,0,5.75
14,Rikitea,PF,2022-04-30 20:03:57,-23.1203,-134.9692,75.92,76,51,12.15
15,Pasighat,IN,2022-04-30 20:05:19,28.0667,95.3333,71.01,72,99,2.33
16,Clyde River,CA,2022-04-30 19:59:03,70.4692,-68.5914,16.03,86,100,6.91
17,Kapaa,US,2022-04-30 20:07:51,22.0752,-159.319,78.78,76,75,19.57
18,Castro,BR,2022-04-30 20:07:51,-24.7911,-50.0119,67.35,86,43,1.05
19,Busselton,AU,2022-04-30 20:04:07,-33.65,115.3333,54.99,87,0,5.82
20,Bredasdorp,ZA,2022-04-30 20:07:52,-34.5322,20.0403,56.03,86,11,5.48
21,Moletai,LT,2022-04-30 20:07:52,55.2333,25.4167,37.72,62,18,3.91
22,Solnechnyy,RU,2022-04-30 20:07:53,50.7214,136.6319,26.13,85,51,5.55
23,Ribeira Grande,PT,2022-04-30 20:00:17,38.5167,-28.7,64.8,77,20,10.36
24,Tuktoyaktuk,CA,2022-04-30 19:57:53,69.4541,-133.0374,30.2,80,20,9.22
25,Hilo,US,2022-04-30 20:07:53,19.7297,-155.09,77.29,89,100,10.36
26,Inuvik,CA,2022-04-30 20:07:54,68.3499,-133.7218,35.55,100,100,8.86
27,Ilhabela,BR,2022-04-30 20:07:54,-23.7781,-45.3581,70.43,88,100,5.46
28,Atuona,PF,2022-04-30 19:59:04,-9.8,-139.0333,78.89,76,7,13.38
29,New Norfolk,AU,2022-04-30 20:07:55,-42.7826,147.0587,58.5,69,100,3.0
30,Punta Arenas,CL,2022-04-30 20:04:14,-53.15,-70.9167,44.11,75,69,5.01
31,Komsomolskiy,UZ,2022-04-30 19:58:25,40.4272,71.7189,70.52,56,49,4.61
32,Mehamn,NO,2022-04-30 20:07:55,71.0357,27.8492,28.35,69,75,9.22
33,Port Elizabeth,ZA,2022-04-30 19:59:02,-33.918,25.5701,61.09,78,0,16.11
34,Sechura,PE,2022-04-30 20:04:52,-5.5569,-80.8222,80.06,56,85,11.99
35,Kouroussa,GN,2022-04-30 20:07:56,10.65,-9.8833,84.4,49,92,5.03
36,Ust-Tsilma,RU,2022-04-30 20:07:56,65.441,52.1498,24.57,93,95,5.23
37,Krasnoturansk,RU,2022-04-30 20:07:56,54.3186,91.5639,53.64,60,67,5.66
38,Ahipara,NZ,2022-04-30 20:07:57,-35.1667,173.1667,58.68,87,9,6.42
39,Alur,IN,2022-04-30 20:07:57,12.9833,75.9833,72.05,92,80,8.66
40,Tessalit,ML,2022-04-30 20:07:58,20.1986,1.0114,86.34,8,0,8.88
41,Moree,AU,2022-04-30 20:07:58,-29.4667,149.85,51.82,93,40,8.05
42,Goianapolis,BR,2022-04-30 20:07:58,-16.5106,-49.0239,81.68,39,42,4.27
43,Barrow,US,2022-04-30 20:06:28,71.2906,-156.7887,19.42,79,0,10.36
44,Anadyr,RU,2022-04-30 20:07:59,64.75,177.4833,28.9,68,20,17.0
45,Avarua,CK,2022-04-30 19:59:07,-21.2078,-159.775,82.45,74,20,9.22
46,Hobart,AU,2022-04-30 20:08:59,-42.8794,147.3294,58.86,66,75,9.22
47,Klyuchevskiy,RU,2022-04-30 20:09:00,53.5317,119.4519,27.46,46,100,0.83
48,Port Alfred,ZA,2022-04-30 20:09:00,-33.5906,26.891,58.17,82,1,3.0
49,Puerto Ayora,EC,2022-04-30 20:09:01,-0.7393,-90.3518,80.56,78,89,8.7
50,Upernavik,GL,2022-04-30 20:09:01,72.7868,-56.1549,19.26,71,74,3.18
51,Haines Junction,CA,2022-04-30 20:09:02,60.7522,-137.5108,37.99,85,92,2.01
52,Veraval,IN,2022-04-30 20:09:02,20.9,70.3667,82.38,84,0,11.27
53,Santa Rosa,PH,2022-04-30 20:09:02,14.3122,121.1114,82.38,77,100,7.38
54,Sibolga,ID,2022-04-30 20:09:03,1.7427,98.7792,77.34,89,98,3.06
55,Guerrero Negro,MX,2022-04-30 20:09:03,27.9769,-114.0611,68.47,57,80,15.28
56,Kruisfontein,ZA,2022-04-30 20:09:04,-34.0033,24.7314,52.88,86,7,6.93
57,Hinton,CA,2022-04-30 20:09:04,53.4001,-117.5857,38.77,92,100,3.44
58,Cidreira,BR,2022-04-30 20:09:04,-30.1811,-50.2056,65.95,70,100,9.84
59,Jiexiu,CN,2022-04-30 20:09:05,37.0244,111.9125,49.08,19,0,5.12
60,Saint-Pierre,RE,2022-04-30 20:08:00,-21.3393,55.4781,76.68,83,75,3.44
61,Tiksi,RU,2022-04-30 20:09:05,71.6872,128.8694,34.25,89,100,17.16
62,Brae,GB,2022-04-30 20:09:06,60.3964,-1.353,45.34,74,91,12.15
63,Villagarzon,CO,2022-04-30 20:09:06,1.0375,-76.6267,70.32,100,100,0.6
64,Alice Springs,AU,2022-04-30 20:02:48,-23.7,133.8833,56.75,72,40,8.05
65,Aklavik,CA,2022-04-30 20:02:50,68.2191,-135.0107,35.33,100,97,10.83
66,Tarabha,IN,2022-04-30 20:09:07,20.7333,83.65,83.86,36,45,6.08
67,Saint-Georges,GD,2022-04-30 20:09:07,12.0564,-61.7485,81.25,72,91,15.43
68,Cockburn Town,TC,2022-04-30 20:09:08,21.4612,-71.1419,80.56,61,40,17.27
69,Butaritari,KI,2022-04-30 20:09:08,3.0707,172.7902,80.82,82,74,13.73
70,Tocopilla,CL,2022-04-30 20:09:08,-22.092,-70.1979,68.7,71,27,7.85
71,Sao Filipe,CV,2022-04-30 20:01:35,14.8961,-24.4956,72.34,75,83,8.41
72,Arraial Do Cabo,BR,2022-04-30 20:09:09,-22.9661,-42.0278,75.06,83,75,9.22
73,Ilulissat,GL,2022-04-30 20:09:09,69.2167,-51.1,24.82,46,0,16.11
74,San Quintin,MX,2022-04-30 20:07:17,30.4833,-115.95,67.35,62,62,13.87
75,San Julian,MX,2022-04-30 20:09:10,21.0167,-102.1667,84.06,11,11,7.09
76,Carnarvon,AU,2022-04-30 20:01:36,-24.8667,113.6333,74.08,46,0,12.3
77,Yulara,AU,2022-04-30 20:01:32,-25.2406,130.9889,60.26,51,100,12.8
78,Khani,GE,2022-04-30 20:09:10,41.9563,42.9566,45.97,96,67,1.59
79,Codrington,AU,2022-04-30 20:01:32,-38.2667,141.9667,57.61,83,100,13.51
80,Luderitz,NA,2022-04-30 20:01:33,-26.6481,15.1594,58.8,66,0,17.2
81,La Ronge,CA,2022-04-30 20:09:11,55.1001,-105.2842,40.86,81,100,5.75
82,Marsh Harbour,BS,2022-04-30 20:09:11,26.5412,-77.0636,72.19,83,100,19.93
83,Ushuaia,AR,2022-04-30 20:09:12,-54.8,-68.3,42.46,81,0,0.0
84,Pacific Grove,US,2022-04-30 20:09:12,36.6177,-121.9166,73.24,81,40,13.8
85,Saint-Philippe,RE,2022-04-30 20:07:13,-21.3585,55.7679,76.59,79,9,11.48
86,Severo-Kurilsk,RU,2022-04-30 20:06:12,50.6789,156.125,34.41,82,100,7.09
87,Lumphat,KH,2022-04-30 20:09:13,13.4878,106.9816,76.08,93,100,0.72
88,Zhigansk,RU,2022-04-30 20:09:13,66.7697,123.3711,30.81,97,100,31.97
89,Esperance,AU,2022-04-30 19:58:06,-33.8667,121.9,55.24,69,0,6.64
90,Batemans Bay,AU,2022-04-30 20:09:14,-35.7167,150.1833,56.1,73,41,3.69
91,Meulaboh,ID,2022-04-30 20:06:02,4.1363,96.1285,78.53,87,100,0.78
92,Cacheu,GW,2022-04-30 20:10:14,12.2706,-16.1658,80.53,46,100,8.75
93,Chokurdakh,RU,2022-04-30 20:10:15,70.6333,147.9167,12.56,94,31,7.94
94,Mardan,PK,2022-04-30 20:10:15,34.2019,72.0525,79.83,30,0,4.45
95,Cherskiy,RU,2022-04-30 20:06:03,68.75,161.3,9.81,93,80,4.63
96,Dikson,RU,2022-04-30 20:10:16,73.5069,80.5464,16.43,94,100,18.54
97,Bukachacha,RU,2022-04-30 20:10:16,52.9833,116.9167,35.65,71,100,2.71
98,Rawson,AR,2022-04-30 20:10:16,-43.3002,-65.1023,58.32,46,60,21.72
99,Pundaguitan,PH,2022-04-30 20:10:17,6.3711,126.1689,79.54,83,99,6.93
100,Karratha,AU,2022-04-30 20:03:08,-20.7377,116.8463,75.67,52,88,12.5
101,Sitka,US,2022-04-30 20:04:55,57.0531,-135.33,52.43,48,87,1.68
102,Muroto,JP,2022-04-30 20:10:17,33.2833,134.15,61.29,63,100,3.65
103,Ponta Do Sol,PT,2022-04-30 20:10:18,32.6667,-17.1,68.72,71,0,2.17
104,Ileza,RU,2022-04-30 20:10:18,61.0533,43.9002,24.71,84,15,3.94
105,Nikolskoye,RU,2022-04-30 20:10:19,59.7035,30.7861,40.8,68,100,6.8
106,Bengkulu,ID,2022-04-30 20:06:11,-3.8004,102.2655,76.19,88,86,5.19
107,Saint-Joseph,RE,2022-04-30 20:10:19,-21.3667,55.6167,75.58,78,22,8.66
108,Kirakira,SB,2022-04-30 20:07:56,-10.4544,161.9205,80.24,80,100,2.04
109,North Branch,US,2022-04-30 20:10:20,45.5113,-92.9802,51.87,93,100,7.0
110,Sistranda,NO,2022-04-30 20:02:32,63.7256,8.834,42.76,81,100,15.61
111,Vestmannaeyjar,IS,2022-04-30 20:10:20,63.4427,-20.2734,46.51,85,25,18.23
112,Broome,US,2022-04-30 20:10:20,42.2506,-75.833,62.19,27,0,10.36
113,Hambantota,LK,2022-04-30 20:10:21,6.1241,81.1185,81.25,85,100,14.29
114,Lebu,CL,2022-04-30 20:10:21,-37.6167,-73.65,53.96,65,2,15.28
115,Keflavik,IS,2022-04-30 20:10:22,64.0049,-22.5624,45.03,81,75,19.57
116,East London,ZA,2022-04-30 20:10:22,-33.0153,27.9116,62.89,71,0,12.64
117,Rudnogorsk,RU,2022-04-30 20:10:23,57.2639,103.7519,44.65,97,100,5.55
118,Mar Del Plata,AR,2022-04-30 20:08:29,-38.0023,-57.5575,56.88,56,0,12.66
119,Adjumani,UG,2022-04-30 20:10:23,3.3779,31.7909,69.62,89,100,1.5
120,Vaini,TO,2022-04-30 20:10:24,-21.2,-175.2,77.16,94,100,9.22
121,Pisco,PE,2022-04-30 20:01:32,-13.7,-76.2167,71.02,79,9,6.8
122,Boden,SE,2022-04-30 20:10:24,65.8252,21.6886,35.6,96,85,1.28
123,Vila Franca Do Campo,PT,2022-04-30 20:10:24,37.7167,-25.4333,63.01,80,16,4.09
124,San Angelo,US,2022-04-30 20:09:47,31.4638,-100.437,84.42,19,0,15.99
125,Camacha,PT,2022-04-30 20:10:25,33.0833,-16.3333,60.22,88,20,14.97
126,Marsaxlokk,MT,2022-04-30 20:10:25,35.8419,14.5431,62.08,67,0,5.75
127,Babu,CN,2022-04-30 20:10:26,24.4167,111.5167,57.74,96,100,7.72
128,Mahebourg,MU,2022-04-30 20:10:26,-20.4081,57.7,74.25,77,31,10.51
129,Jilib,SO,2022-04-30 20:10:27,0.4883,42.7854,77.23,92,39,7.0
130,Caceres,ES,2022-04-30 20:10:27,39.522,-6.3748,68.72,49,63,7.85
131,Maldonado,UY,2022-04-30 20:10:27,-34.6667,-54.9167,57.22,65,84,3.96
132,Kenai,US,2022-04-30 20:06:08,60.5544,-151.2583,44.69,55,0,12.66
133,Hithadhoo,MV,2022-04-30 20:10:28,-0.6,73.0833,85.32,68,100,14.65
134,Tahta,EG,2022-04-30 20:10:28,26.7693,31.5021,83.66,16,0,10.67
135,Iqaluit,CA,2022-04-30 20:10:29,63.7506,-68.5145,25.7,73,100,8.01
136,Acapulco,MX,2022-04-30 20:00:17,16.8634,-99.8901,87.24,49,92,11.81
137,Champerico,GT,2022-04-30 20:11:29,14.3,-91.9167,86.59,62,71,9.35
138,Port Hedland,AU,2022-04-30 20:11:30,-20.3167,118.5667,73.45,64,75,6.91
139,Mayumba,GA,2022-04-30 20:11:30,-3.432,10.6554,78.04,90,100,4.76
140,Tilichiki,RU,2022-04-30 20:11:30,60.4667,166.1,26.91,89,45,7.23
141,Saint George,US,2022-04-30 20:07:47,37.1041,-113.5841,81.25,13,0,4.0
142,Yabelo,ET,2022-04-30 20:11:31,4.8833,38.0833,60.3,87,53,5.61
143,Jamestown,US,2022-04-30 20:11:31,42.097,-79.2353,64.06,21,0,6.91
144,Ust-Kuyga,RU,2022-04-30 20:11:32,70.0167,135.6,13.48,88,46,7.94
145,Krk,HR,2022-04-30 20:11:32,45.0258,14.5731,67.19,65,12,7.74
146,Lodja,CD,2022-04-30 20:11:32,-3.4833,23.4333,73.85,85,95,1.95
147,Mayo,US,2022-04-30 20:11:33,38.8876,-76.5119,72.21,32,0,6.91
148,Axim,GH,2022-04-30 20:11:33,4.8699,-2.2405,80.65,84,100,8.57
149,Fortuna,US,2022-04-30 20:11:34,40.5982,-124.1573,56.98,87,100,9.22
150,Iquique,CL,2022-04-30 20:11:34,-20.2208,-70.1431,66.24,72,10,6.69
151,Torquay,GB,2022-04-30 20:11:34,50.4638,-3.5143,51.71,73,100,3.0
152,Dubbo,AU,2022-04-30 20:08:38,-32.25,148.6167,42.93,81,6,8.05
153,Khatanga,RU,2022-04-30 20:11:35,71.9667,102.5,3.4,99,92,7.54
154,Turkistan,KZ,2022-04-30 20:11:35,43.0,68.0,74.37,23,8,7.2
